customer_id,transaction_id,transaction_date,transaction_amount,product_category,payment_method,customer_age,customer_gender,customer_region,loyalty_status,churn_risk
97e57897-69ca-4292-a4d4-2a1ab7e21bd0,2752b37e-14d2-4dc6-9db7-9cd01c9e6bf9,2023-11-06,414.44,Clothing,Credit Card,37,Female,Larryton,Bronze,1
9fa24f2a-b6e7-4723-ae39-138ca75b9721,605b6b50-e4c2-440a-ae91-331bd6f37253,2023-11-29,247.85,Clothing,Credit Card,78,Male,Lake Michaelbury,Gold,10
b13094fd-0631-4ba8-8d66-0e72c644d954,f4af440f-7a88-4fcc-961f-f40f927ce1fd,2023-07-07,308.67,Electronics,Debit Card,42,Female,Hinesborough,Silver,8
1d897537-39fb-4993-bff3-55caf6e9c79f,da6d44d5-fc64-4d9e-966d-6c874c57b79c,2024-02-23,32.34,Health,PayPal,41,Female,Lake Davidport,Bronze,2
49b3d24b-a12c-4286-b63c-9750c65e6706,f9444c0d-91a5-43f3-8e01-cafd7b86e7dd,2023-06-04,448.91,Home & Kitchen,Debit Card,33,Male,West Travisberg,Silver,10
f3b5c53a-c8d6-47df-9f77-19ea169abf95,d0b035b5-e9f7-4577-b108-3acb652e22ae,2024-01-26,187.79,Electronics,Credit Card,26,Female,North Paulaborough,Silver,6
ab572358-6bbc-4876-834b-ec3df811f979,cb632f00-2ceb-48ae-8e11-8b7a18066949,2023-03-23,323.48,Sports,PayPal,43,Male,West Maria,Bronze,7
b6b4a1b6-f367-43f8-9432-87fd17a18685,ea02773b-2792-4f06-bf9c-2a2562d87157,2023-06-09,394.55,Electronics,Credit Card,44,Female,Jessicaview,Bronze,8
0f8363ba-6ca0-4da1-99c5-b05ca03a6593,f1b9525c-b47b-499f-9fc8-e12ac510ac80,2023-01-12,224.43,Toys,PayPal,33,Female,North Raymond,Bronze,10
6ac2e360-dc5a-460e-907c-b82680765371,baa2c9e9-47d7-498d-bb1e-7d61074524a9,2024-02-01,205.66,Health,PayPal,71,Female,South Hannah,Gold,4
a8dac053-db43-496f-8d54-7fc513e9b6e1,fd3e73c6-adbd-4310-b4a9-ee9131d05e33,2023-07-28,413.93,Clothing,Gift Card,42,Female,New Brandyville,Silver,4
344c6da4-4dda-4f88-9c1f-88a4d62e9230,4f9e7e98-98ae-4aec-93fb-03cfe76a8e5c,2022-10-08,102.15,Sports,Credit Card,25,Male,North Willieshire,Bronze,7
90d13766-89a3-4f02-aecb-85178c1a9af1,fd110a0e-7726-4574-a3a9-850ed966399d,2024-06-21,220.49,Home & Kitchen,Gift Card,26,Female,Estesside,Bronze,10
f2d4073b-5a1f-46a8-a815-04c5c299ec65,5d5eaf91-aa0a-48d3-a565-30b1b6f93bac,2023-06-27,332.61,Electronics,Gift Card,32,Male,North Anthonyhaven,Bronze,5
